episode,first_guess,lars_guess,florentin_guess,real_price,senfkarte,undercover_karte,undercover_produkt
15,Lars,10.99,19.99,13.99,,,
15,Florentin,89.99,119.99,72.99,Florentin,,
15,Lars,7.99,9.99,12.99,,,
15,Lars,15.99,9.99,59.99,,,
16,Florentin,29.99,22.99,19.95,,,
16,Florentin,10.00,5.00,4.74,,,
16,Lars,34.99,19.99,30.99,,,
16,Lars,11.99,7.99,17.99,,,
16,Florentin,21.95,32.99,25.99,,,
16,Lars,19.99,14.99,11.77,,,
16,Florentin,8.50,12.50,17.95,Florentin,,
16,Lars,59.99,49.99,99.00,Lars,,
16,Florentin,29.99,18.99,35.60,,,
17,Lars,49.00,29.99,62.21,,,
17,Florentin,29.99,17.99,8.99,,,
17,Lars,14.99,23.90,42.95,,,
17,Lars,11.99,5.99,15.99,,,
17,Florentin,345.00,140.00,590.00,,,
17,Lars,8.99,12.99,6.95,,,
17,Florentin,9.99,5.99,11.99,Florentin,,
17,Lars,8.97,11.99,6.41,Lars,,
17,Lars,20000.00,14.99,14.90,,,
18,Lars,31.99,19.99,12.95,,,
18,Florentin,14.99,8.99,14.16,,,
18,Florentin,129.99,80.00,349.00,,,
18,Lars,9.99,7.99,10.92,,,
18,Florentin,39.99,29.99,42.99,,,
18,Florentin,16.89,28.99,12.98,Florentin,,
18,Lars,59.99,49.99,49.90,Lars,,
19,Lars,11.95,3.99,19.99,Lars,,
19,Florentin,34.90,24.99,71.95,,,
19,Lars,69.99,79.99,53.99,,,
19,Florentin,55.99,45.00,29.95,Florentin,,
19,Lars,39.99,50.00,30.99,,,
19,Florentin,27.99,18.99,17.99,,,
19,Lars,199.99,100.00,179.00,,,
19,Florentin,36.99,18.00,16.95,,,
19,Lars,34.99,19.99,44.99,,,
19,Florentin,9.99,14.99,13.99,,,
20,Lars,22.99,16.99,12.04,,,
20,Florentin,199.99,139.00,109.72,,,
20,Lars,9.99,0.90,8.49,,,
20,Florentin,19.99,39.95,28.43,,,
20,Lars,6.99,9.99,21.99,,,
20,Florentin,9.99,14.99,12.00,,,
20,Lars,7.99,4.99,11.50,Lars,,
20,Florentin,12.97,6.00,30.99,Florentin,,
21,Lars,35.00,19.99,16.99,,,
21,Florentin,334.99,250.00,109.99,,,
21,Lars,60.00,80.00,35.48,,,
21,Florentin,31.99,21.99,20.79,,,
21,Lars,15.99,12.80,8.95,,,
21,Florentin,39.97,27.99,37.99,,,
21,Lars,23.99,18.99,19.99,Lars,,
21,Florentin,34.99,24.99,73.85,Florentin,,
22,Lars,18.99,26.99,18.99,,,
22,Florentin,64.99,99.00,72.90,,,
22,Lars,20.00,7.99,8.72,,,
22,Lars,11.99,4.99,12.99,,,
22,Florentin,5.99,3.99,6.90,,,
22,Florentin,13.99,8.99,6.49,,,
22,Florentin,8.99,14.99,13.97,Florentin,,
22,Lars,199.00,39.99,219.90,,,
22,Lars,9.97,13.99,9.90,Lars,,
23,Lars,75.00,39.99,49.99,,,
23,Florentin,5.99,9.99,23.93,,,
23,Lars,49.99,89.00,159.50,,,
23,Florentin,11.96,5.99,14.80,,,
23,Lars,5.99,2.99,1.54,,,
23,Lars,5.99,2.99,14.99,Lars,,
23,Florentin,120.00,159.00,169.00,Florentin,,
23,Lars,3.99,1.50,5.95,,,
24,Florentin,3.99,7.99,10.29,,,
24,Lars,5.99,2.80,2.39,,,
24,Florentin,79.89,150.00,179.00,,,
24,Lars,23.99,16.99,12.98,,Florentin,
24,Florentin,45.99,29.99,59.99,,,
24,Lars,6.99,3.80,6.39,,,
24,Lars,12.99,19.99,15.99,Lars,,
24,Florentin,15.99,24.99,22.99,Florentin,,
24,Lars,129.00,199.99,299.99,,,
24,Lars,17.99,11.99,44.95,,Lars,true
25,Lars,12.99,24.99,18.99,,,
25,Florentin,17.99,32.80,39.99,,,
25,Florentin,4.95,7.50,7.49,,,
25,Florentin,300.00,200.00,523.00,,,
25,Lars,6.99,9.99,14.90,,,
25,Lars,8.00,6.00,17.99,,,
25,Lars,79.99,99.99,64.00,Lars,,
25,Florentin,11.00,2.90,9.99,,,
25,Florentin,82.99,59.90,189.95,Florentin,,
25,Lars,11.99,7.99,18.99,,,
26,Lars,5.99,11.00,8.99,,,
26,Florentin,14.99,10.80,23.99,,,
26,Lars,5.00,2.99,14.42,,,
26,Lars,100.00,139.00,248.00,Lars,,
26,Florentin,21.00,14.99,13.99,,,
26,Lars,6.99,4.99,15.99,,,
26,Florentin,59.00,49.99,55.98,Florentin,,
26,Lars,15.00,7.18,15.00,,,
27,Lars,9.99,6.99,9.29,,,
27,Florentin,8.00,5.99,16.99,,,
27,Florentin,39.00,24.99,95.99,,,
27,Lars,11.99,2.80,10.97,,,
27,Florentin,16.99,4.90,39.99,,,
27,Lars,10.00,40.00,8.99,,,
